word,cat_lev1,cat_lev2,cat_lev3,ndf
availability,business,professional_conduct_host,personality_host,0.0037180088799047
warmly,business,professional_conduct_host,personality_host,0.00374207366229891
considerate,business,professional_conduct_host,personality_host,0.00364581453272209
caring,business,professional_conduct_host,personality_host,0.00359768496793368
precise,business,professional_conduct_host,personality_host,0.00287574149610752
helping,business,professional_conduct_host,personality_host,0.00302013019047275
uncomplicated,business,professional_conduct_host,personality_host,0.00245460780420893
reliable,business,professional_conduct_host,personality_host,0.00261102888977126
impeccable,business,professional_conduct_host,personality_host,0.0023222515010408
respectful,business,professional_conduct_host,personality_host,0.00215379802428137
accomodating,business,professional_conduct_host,personality_host,0.00221395998026688
arrangements,business,professional_conduct_host,personality_host,0.00204550650350744
organised,business,professional_conduct_host,personality_host,0.00154014607322913
generosity,business,professional_conduct_host,personality_host,0.000697878689431951
responsible,business,professional_conduct_host,personality_host,0.000782105427811669
discrete,business,professional_conduct_host,personality_host,0.000685846298234848
location,business,location,location,0.00999891708479226
from,business,location,location,0.00999891708479226
close,business,location,location,0.00999891708479226
quiet,business,location,location,0.00999891708479226
area,business,location,location,0.00999891708479226
walk,business,location,location,0.00999891708479226
located,business,location,location,0.00999891708479226
restaurants,business,location,location,0.00999891708479226
city,business,location,location,0.00999891708479226
neighborhood,business,location,location,0.00999891708479226
get,business,location,location,0.00999891708479226
away,business,location,location,0.00998688469359516
walking,business,location,location,0.00998688469359516
around,business,location,location,0.00998688469359516
minutes,business,location,location,0.00989062556401834
beach,business,location,location,0.00945745948092264
few,business,location,location,0.00992672273760965
convenient,business,location,location,0.00995078752000385
distance,business,location,location,0.00996281991120095
street,business,location,location,0.00989062556401834
town,business,location,location,0.00990265795521544
many,business,location,location,0.00990265795521544
shops,business,location,location,0.00986656078162413
central,business,location,location,0.00980639882563862
station,business,location,location,0.00960184817528787
metro,business,location,location,0.00943339469852844
downtown,business,location,location,0.00944542708972554
places,business,location,location,0.00984249599922993
lots,business,location,location,0.009734204478456
centre,business,location,location,0.00921681165698059
within,business,location,location,0.009734204478456
parking,business,location,location,0.00949355665451395
near,business,location,location,0.00979436643444152
access,business,location,location,0.00958981578409077
bus,business,location,location,0.009264941221769
minute,business,location,location,0.00950558904571105
bars,business,location,location,0.00940932991613423
nearby,business,location,location,0.00951762143690816
park,business,location,location,0.00916868209219218
safe,business,location,location,0.00922884404817769
local,business,location,location,0.00940932991613423
center,business,location,location,0.00918071448338928
amenities,business,location,location,0.009264941221769
car,business,location,location,0.00904835818022116
building,business,location,location,0.00883177513867331
far,business,location,location,0.00928900600416321
outside,business,location,location,0.00904835818022116
drive,business,location,location,0.00884380752987041
easily,business,location,location,0.00890396948585592
train,business,location,location,0.00855503014113995
cool,business,location,location,0.00837454427318341
airport,business,location,location,0.00807373449325584
stop,business,location,location,0.00803763731966454
subway,business,location,location,0.00755634167178043
heart,business,location,location,0.00819405840522687
still,business,location,location,0.00825422036121238
reach,business,location,location,0.00774885993093407
steps,business,location,location,0.00752024449818913
shopping,business,location,location,0.00791731340769351
transport,business,location,location,0.007387888195021
attractions,business,location,location,0.00749617971579492
restaurant,business,location,location,0.00726756428304997
grocery,business,location,location,0.00752024449818913
foot,business,location,location,0.00723146710945866
neighbourhood,business,location,location,0.00708707841509343
road,business,location,location,0.00718333754467025
market,business,location,location,0.00685846298234848
corner,business,location,location,0.0069306573295311
transportation,business,location,location,0.00690659254713689
across,business,location,location,0.00677423624396876
centrally,business,location,location,0.00708707841509343
situated,business,location,location,0.00703894885030502
store,business,location,location,0.00667797711439194
sea,business,location,location,0.00579961255700345
cafes,business,location,location,0.00685846298234848
conveniently,business,location,location,0.00655765320242092
stores,business,location,location,0.00661781515840643
district,business,location,location,0.00606432516333971
supermarket,business,location,location,0.00617261668411363
walkable,business,location,location,0.00635310255207017
tram,business,location,location,0.00496937756440337
residential,business,location,location,0.00582367733939766
beaches,business,location,location,0.00527018734433094
village,business,location,location,0.00487311843482655
historic,business,location,location,0.00489718321722076
river,business,location,location,0.00441588756933665
taxi,business,location,location,0.00505360430278309
stops,business,location,location,0.00512579864996571
mins,business,location,location,0.00489718321722076
proximity,business,location,location,0.00512579864996571
shop,business,location,location,0.00489718321722076
spots,business,location,location,0.00488515082602366
sights,business,location,location,0.0046324706108845
facilities,business,location,location,0.00445198474292796
supermarkets,business,location,location,0.00411507778940909
stations,business,location,location,0.00391052713905835
transit,business,location,location,0.00382630040067863
served,business,location,location,0.00382630040067863
connected,business,location,location,0.00374207366229891
nightlife,business,location,location,0.0036939440975105
tube,business,location,location,0.00269525562815098
cafe,business,location,location,0.00329687518800611
typical,business,location,location,0.00327281040561191
bakery,business,location,location,0.00294793584329014
pubs,business,location,location,0.00299606540807855
reachable,business,location,location,0.00289980627850173
markets,business,location,location,0.00285167671371332
underground,business,location,location,0.00223802476266108
bakeries,business,location,location,0.00174469672357988
apartment,business,property,property_type,0.00999891708479226
house,business,property,property_type,0.00999891708479226
home,business,property,property_type,0.00999891708479226
flat,business,property,property_type,0.00961388056648498
private,business,property,property_type,0.00960184817528787
building,business,property,property_type,0.00883177513867331
pool,business,property,property_type,0.00727959667424707
property,business,property,property_type,0.00843470622916892
garden,business,property,property_type,0.00796544297248192
terrace,business,property,property_type,0.00727959667424707
cabin,business,property,property_type,0.00429556365736563
balcony,business,property,property_type,0.0073999205862181
apt,business,property,property_type,0.00490921560841786
appartment,business,property,property_type,0.00469263256687001
backyard,business,property,property_type,0.00469263256687001
roof,business,property,property_type,0.00332093997040032
gardens,business,property,property_type,0.00246664019540603
water,business,property,facilities,0.00875958079149069
hot,business,property,facilities,0.00845877101156313
wifi,business,property,facilities,0.00843470622916892
towels,business,property,facilities,0.00841064144677472
tv,business,property,facilities,0.00702691645910792
fridge,business,property,facilities,0.00678626863516587
internet,business,property,facilities,0.00490921560841786
facilities,business,property,facilities,0.00445198474292796
laundry,business,property,facilities,0.00411507778940909
sheets,business,property,facilities,0.00386239757426993
microwave,business,property,facilities,0.00328484279680901
toiletries,business,property,facilities,0.00282761193131911
heater,business,property,facilities,0.00258696410737706
pillows,business,property,facilities,0.00251476976019444
blankets,business,property,facilities,0.00268322323695388
shampoo,business,property,facilities,0.00252680215139155
refrigerator,business,property,facilities,0.00217786280667557
clean,business,property,interiors,0.00999891708479226
comfortable,business,property,interiors,0.00999891708479226
room,business,property,interiors,0.00999891708479226
bed,business,property,interiors,0.00995078752000385
kitchen,business,property,interiors,0.00997485230239806
spacious,business,property,interiors,0.00997485230239806
small,business,property,interiors,0.00998688469359516
cozy,business,property,interiors,0.00993875512880675
bathroom,business,property,interiors,0.00995078752000385
equipped,business,property,interiors,0.00978233404324441
exactly,business,property,interiors,0.00987859317282123
large,business,property,interiors,0.00956575100169657
described,business,property,interiors,0.00974623686965311
cute,business,property,interiors,0.00936120035134582
shower,business,property,interiors,0.00916868209219218
living,business,property,interiors,0.00913258491860087
bedroom,business,property,interiors,0.00912055252740377
pictures,business,property,interiors,0.00908445535381246
beds,business,property,interiors,0.00877161318268779
comfy,business,property,interiors,0.00884380752987041
decorated,business,property,interiors,0.00891600187705303
photos,business,property,interiors,0.00860315970592836
modern,business,property,interiors,0.008326414708395
rooms,business,property,interiors,0.00829031753480369
bright,business,property,interiors,0.00821812318762108
cosy,business,property,interiors,0.00776089232213118
furnished,business,property,interiors,0.00768869797494856
functional,business,property,interiors,0.00669000950558905
size,business,property,interiors,0.00670204189678615
bedrooms,business,property,interiors,0.00593196886017158
decor,business,property,interiors,0.00573945060101794
tidy,business,property,interiors,0.0060041632073542
bath,business,property,interiors,0.00513783104116281
bathrooms,business,property,interiors,0.00457230865489899
neat,business,property,interiors,0.00480092408764394
furniture,business,property,interiors,0.00429556365736563
pictured,business,property,interiors,0.00425946648377432
toilet,business,property,interiors,0.00409101300701488
sofa,business,property,interiors,0.00406694822462068
spotless,business,property,interiors,0.00397068909504386
picture,business,property,interiors,0.00271932041054519
showers,business,property,interiors,0.00193721498273352
sized,business,property,interiors,0.00187705302674801
breakfast,social,social_interaction,meal,0.0096981073048647
delicious,social,social_interaction,meal,0.00730366145664128
fresh,social,social_interaction,meal,0.00717130515347315
dinner,social,social_interaction,meal,0.00617261668411363
meals,social,social_interaction,meal,0.00517392821475412
together,social,social_interaction,meal,0.00459637343729319
breakfasts,social,social_interaction,meal,0.00268322323695388
cooked,social,social_interaction,meal,0.00263509367216547
her,social,social_interaction,people,0.00999891708479226
she,social,social_interaction,people,0.00998688469359516
he,social,social_interaction,people,0.00996281991120095
his,social,social_interaction,people,0.00990265795521544
they,social,social_interaction,people,0.00987859317282123
family,social,social_interaction,people,0.00991469034641254
their,social,social_interaction,people,0.00966201013127339
friends,social,social_interaction,people,0.00919274687458639
them,social,social_interaction,people,0.00839860905557762
husband,social,social_interaction,people,0.00790528101649641
friend,social,social_interaction,people,0.00766463319255436
him,social,social_interaction,people,0.00718333754467025
wife,social,social_interaction,people,0.00605229277214261
daughter,social,social_interaction,people,0.00506563669398019
son,social,social_interaction,people,0.00493328039081207
boyfriend,social,social_interaction,people,0.00454824387250478
girlfriend,social,social_interaction,people,0.00365784692391919
company,social,social_interaction,people,0.00346532866476555
mother,social,social_interaction,people,0.00315248649364088
mom,social,social_interaction,people,0.00243054302181473
herself,social,social_interaction,people,0.00264712606336257
himself,social,social_interaction,people,0.00205753889470454
hers,social,social_interaction,people,0.000385036518307283
shes,social,social_interaction,people,3.60971735913078e-05
friendly,social,social_interaction,personality_host,0.00999891708479226
kind,social,social_interaction,personality_host,0.00990265795521544
warm,social,social_interaction,personality_host,0.0096981073048647
charming,social,social_interaction,personality_host,0.00890396948585592
sweet,social,social_interaction,personality_host,0.00772479514853987
gracious,social,social_interaction,personality_host,0.00713520797988184
interesting,social,social_interaction,personality_host,0.00652155602882961
adorable,social,social_interaction,personality_host,0.0060161955985513
inviting,social,social_interaction,personality_host,0.00435572561335114
delightful,social,social_interaction,personality_host,0.00448808191651927
relaxed,social,social_interaction,personality_host,0.00433166083095694
kindness,social,social_interaction,personality_host,0.00424743409257722
calm,social,social_interaction,personality_host,0.00437979039574535
polite,social,social_interaction,personality_host,0.00340516670878004
courteous,social,social_interaction,personality_host,0.0027674499753336
warmth,social,social_interaction,personality_host,0.00151608129083493
funny,social,social_interaction,personality_host,0.0013957573788639
easygoing,social,social_interaction,personality_host,0.000613651951052233
sympathy,social,social_interaction,personality_host,0.000541457603869617
shared,social,social_interaction,sharing,0.00582367733939766
share,social,social_interaction,sharing,0.00470466495806712
sharing,social,social_interaction,sharing,0.00373004127110181
experiences,social,social_interaction,sharing,0.00253883454258865
stories,social,social_interaction,sharing,0.00157624324682044
interests,social,social_interaction,sharing,0.00064974912464354
chat,social,social_interaction,talking,0.00305622736406406
conversation,social,social_interaction,talking,0.00287574149610752
conversations,social,social_interaction,talking,0.00234631628343501
talking,social,social_interaction,talking,0.00196127976512772
chatting,social,social_interaction,talking,0.001407789770061
moments,social,social_interaction,talking,0.00115510955492185
chats,social,social_interaction,talking,0.00055348999506672
talks,social,social_interaction,talking,0.000360971735913078
